,id,name,country,country_code,abbreviation,week,Year
195,sr:competitor:218344,"Lawson, Alex",USA,USA,LAW,16,2025
196,sr:competitor:43319,"Duran, Guillermo",Argentina,ARG,DUR,16,2025
197,sr:competitor:227358,"Walton, Adam",Australia,AUS,WAL,16,2025
198,sr:competitor:250231,"Shimizu, Yuta",Japan,JPN,SHI,16,2025
199,sr:competitor:163538,"Donski, Alexander",Bulgaria,BGR,DON,16,2025
200,sr:competitor:64920,"Myneni, Saketh",India,IND,MYN,16,2025
201,sr:competitor:85877,"Villanueva, Gonzalo",Argentina,ARG,VIL,16,2025
202,sr:competitor:49417,"Tu, Li",Australia,AUS,TUL,16,2025
203,sr:competitor:352776,"Draper, Jack",Great Britain,GBR,DRA,16,2025
204,sr:competitor:89632,"Jarry, Nicolas",Chile,CHL,JAR,16,2025
205,sr:competitor:169496,"Etcheverry, Tomas Martin",Argentina,ARG,ETC,16,2025
206,sr:competitor:163540,"Hermans, Mats",Netherlands,NLD,HER,16,2025
207,sr:competitor:342826,"Trotter, James Kent",Japan,JPN,TRO,16,2025
208,sr:competitor:853643,"Romano, Filippo",Italy,ITA,ROM,16,2025
209,sr:competitor:50148,"Puttergill, Calum",Australia,AUS,PUT,16,2025
210,sr:competitor:233144,"Duda, Filip",Czechia,CZE,DUD,16,2025
211,sr:competitor:161448,"Jones, Ben",Great Britain,GBR,JON,16,2025
212,sr:competitor:723013,"Pokorny, Lukas",Slovakia,SVK,POK,16,2025
213,sr:competitor:880089,"Pereira, Tiago",Portugal,PRT,PER,16,2025
214,sr:competitor:163438,"Sun, Fajing",China,CHN,SUN,16,2025
215,sr:competitor:339377,"Lehecka, Jiri",Czechia,CZE,LEH,16,2025
216,sr:competitor:46391,"Struff, Jan-Lennard",Germany,DEU,STR,16,2025
217,sr:competitor:348308,"Sheehy, Joshua",USA,USA,SHE,16,2025
218,sr:competitor:539343,"Kym, Jerome",Switzerland,CHE,KYM,16,2025
219,sr:competitor:193930,"Sigouin, Benjamin",Canada,CAN,SIG,16,2025
220,sr:competitor:79223,"Delaney, Jake",Australia,AUS,DEL,16,2025
221,sr:competitor:161868,"Huertas Del Pino, Connor",Peru,PER,HUE,16,2025
222,sr:competitor:15275,"Matsui, Toshihide",Japan,JPN,MAT,16,2025
223,sr:competitor:395828,"Saraiva Dos Santos, Paulo Andre",Brazil,BRA,SAR,16,2025
224,sr:competitor:124930,"Safiullin, Roman",Neutral,,SAF,16,2025
225,sr:competitor:399637,"Cobolli, Flavio",Italy,ITA,COB,16,2025
226,sr:competitor:257721,"Baez, Sebastian",Argentina,ARG,BAE,16,2025
227,sr:competitor:255595,"Cerundolo, Francisco",Argentina,ARG,CER,16,2025
228,sr:competitor:169492,"Aboian, Leonardo",Argentina,ARG,ABO,16,2025
229,sr:competitor:251091,"Noguchi, Rio",Japan,JPN,NOG,16,2025
230,sr:competitor:120956,"Alcantara, Francis Casey",Philippines,PHL,ALC,16,2025
231,sr:competitor:38180,"Mena, Facundo",Argentina,ARG,MEN,16,2025
232,sr:competitor:132558,"Kolar, Zdenek",Czechia,CZE,KOL,16,2025
233,sr:competitor:136042,"Fritz, Taylor",USA,USA,FRI,16,2025
234,sr:competitor:428657,"Shelbayh, Abdullah",Jordan,JOR,SHE,16,2025
235,sr:competitor:77501,"Wehnelt, Kai",Germany,DEU,WEH,16,2025
236,sr:competitor:96629,"Duncan, Scott",Great Britain,GBR,DUN,16,2025
237,sr:competitor:212004,"Rodionov, Jurij",Austria,AUT,ROD,16,2025
238,sr:competitor:284801,"Boyer, Tristan",USA,USA,BOY,16,2025
239,sr:competitor:496346,"Stricker, Dominic",Switzerland,CHE,STR,16,2025
240,sr:competitor:214824,"Aguilar, Juan Carlos",Canada,CAN,AGU,16,2025
241,sr:competitor:498580,"Aboian, Valerio",Argentina,ARG,ABO,16,2025
242,sr:competitor:51974,"Daniell, Marcus",New Zealand,NZL,DAN,16,2025
243,sr:competitor:284805,"Nava, Emilio",USA,USA,NAV,16,2025
244,sr:competitor:552469,"Agafonov, Egor",Neutral,,AGA,16,2025
245,sr:competitor:379924,"Whiting, Tennyson",USA,USA,WHI,16,2025
246,sr:competitor:154740,"Delaney, Jesse",Australia,AUS,DEL,16,2025
247,sr:competitor:294300,"Nakashima, Brandon",USA,USA,NAK,16,2025
248,sr:competitor:145108,"Bertola, Remy",Switzerland,CHE,BER,16,2025
249,sr:competitor:308834,"Schachter, Noah",USA,USA,SCH,16,2025
250,sr:competitor:180104,"Reymond, Arthur",France,FRA,REY,16,2025
251,sr:competitor:686709,"Simakin, Ilia",Neutral,,SIM,16,2025
252,sr:competitor:51304,"Stevenson, Kelsey",Canada,CAN,STE,16,2025
253,sr:competitor:206879,"Eubanks, Christopher",USA,USA,EUB,16,2025
254,sr:competitor:57163,"Zverev, Alexander",Germany,DEU,ZVE,16,2025
255,sr:competitor:450283,"Mpetshi Perricard, Giovanni",France,FRA,MPE,16,2025
256,sr:competitor:373852,"Zink, Tyler",USA,USA,ZIN,16,2025
257,sr:competitor:927343,"Cadenasso, Gianluca",Italy,ITA,CAD,16,2025
258,sr:competitor:126622,Ruehl. Tim,Germany,DEU,RUE,16,2025
259,sr:competitor:168420,"Andrade, Andres",Ecuador,ECU,AND,16,2025
260,sr:competitor:973963,"Watt, James",New Zealand,NZL,WAT,16,2025
261,sr:competitor:48225,"Dutra Da Silva, Daniel",Brazil,BRA,DUT,16,2025
262,sr:competitor:731833,"Kielan, Szymon",Poland,POL,KIE,16,2025
263,sr:competitor:208123,"Maginley, Jody",Antigua and Barbuda,ATG,MAG,16,2025
264,sr:competitor:156664,"TE, Rigele",China,CHN,RIG,16,2025
265,sr:competitor:505542,"Grevelius, Erik",Sweden,SWE,GRE,16,2025
266,sr:competitor:412829,"Matsuda, Ryuki",Japan,JPN,MAT,16,2025
267,sr:competitor:145112,"Huesler, Marc-Andrea",Switzerland,CHE,HUE,16,2025
